District,Month,Visitors
Adilabad,January ,5
Adilabad,February,6
Adilabad,March,5
Adilabad,April,6
Adilabad,May ,6
Adilabad,June,7
Adilabad,July,7
Adilabad,August,5
Adilabad,September,8
Adilabad,October,8
Adilabad,November,8
Adilabad,December,9
Hyd & R R Dist.,January ,7587
Hyd & R R Dist.,February,7871
Hyd & R R Dist.,March,7683
Hyd & R R Dist.,April,3314
Hyd & R R Dist.,May ,1962
Hyd & R R Dist.,June,2767
Hyd & R R Dist.,July,5931
Hyd & R R Dist.,August,3759
Hyd & R R Dist.,September,4258
Hyd & R R Dist.,October,7836
Hyd & R R Dist.,November,4826
Hyd & R R Dist.,December,12257
Karimnagar,January ,0
Karimnagar,February,0
Karimnagar,March,0
Karimnagar,April,0
Karimnagar,May ,0
Karimnagar,June,0
Karimnagar,July,0
Karimnagar,August,0
Karimnagar,September,0
Karimnagar,October,0
Karimnagar,November,0
Karimnagar,December,0
Khammam,January ,0
Khammam,February,0
Khammam,March,0
Khammam,April,0
Khammam,May ,0
Khammam,June,0
Khammam,July,0
Khammam,August,0
Khammam,September,0
Khammam,October,0
Khammam,November,0
Khammam,December,0
Mahbubnagar,January ,210
Mahbubnagar,February,160
Mahbubnagar,March,424
Mahbubnagar,April,311
Mahbubnagar,May ,270
Mahbubnagar,June,223
Mahbubnagar,July,175
Mahbubnagar,August,94
Mahbubnagar,September,69
Mahbubnagar,October,177
Mahbubnagar,November,326
Mahbubnagar,December,350
Medak,January ,0
Medak,February,0
Medak,March,0
Medak,April,0
Medak,May ,0
Medak,June,0
Medak,July,0
Medak,August,0
Medak,September,0
Medak,October,0
Medak,November,0
Medak,December,0
Nalgonda,January ,10
Nalgonda,February,0
Nalgonda,March,0
Nalgonda,April,0
Nalgonda,May ,0
Nalgonda,June,0
Nalgonda,July,0
Nalgonda,August,0
Nalgonda,September,0
Nalgonda,October,0
Nalgonda,November,0
Nalgonda,December,0
Nizamabad,January ,3
Nizamabad,February,0
Nizamabad,March,0
Nizamabad,April,0
Nizamabad,May ,0
Nizamabad,June,0
Nizamabad,July,0
Nizamabad,August,0
Nizamabad,September,0
Nizamabad,October,0
Nizamabad,November,0
Nizamabad,December,0
Warangal,January ,469
Warangal,February,180
Warangal,March,158
Warangal,April,104
Warangal,May ,15
Warangal,June,175
Warangal,July,232
Warangal,August,128
Warangal,September,96
Warangal,October,190
Warangal,November,306
Warangal,December,185
